name,isDeleted
 DEX 2.5% בליטר,false
 פראמין בליטר,false
B-12,false
DEX2.5 בביורטה ,false
K+/150ml,false
K+/L,false
LRS,false
Metabolase/150ml,false
Metabolase/L,false
SALINE-NACL,false
אוגמנטין,false
אוקסיטוצין ,false
אוקסיטטרציקלין ,false
אורסוליט,false
אזיתרומיצין,false
אזניל,false
אייבומק,false
אייס + דמרול,false
אייספרומזין,false
אינסולנין NPH ,false
אמוקסי LA,false
אמפיצילין,false
אנגמיצין,false
אנטי וונום,false
אנטיסדאן,false
אנלדקס,false
אריתרופואטין ,false
בוטורפנול,false
בופרהנורפין,false
בופרהנורפין לתת עור בשיחרור איטי,false
בייטריל,false
ברבקטו חתול ,false
ברבקטו כלב ,false
ברבקטו כלב אמפולה ,false
ברזל,false
ג'נטהמיצין ,false
גבאפנטין,false
דומיטור,false
דומיטור +מידאזולם+בוטורפנול,false
דומיטור+דמרול+מידזולם,false
דוקסילין ,false
דיפינידרמין,false
דיפירון,false
דם מלא,false
דמרול,false
דנמרין,false
דפו- מדרול,false
דקטומקס מינון טיפולי,false
דקסהמטאזון,false
דקסהפורט,false
דקסטרוז בולוס ,false
הטאסטארצ' HES,false
הקסקפרון,false
וואליום,false
ויטמין K,false
חיסון -תולעת הפארק,false
טרזודיל,false
טרמדקס,false
לומינאל,false
לקטולוז,false
מורפין ,false
מטאבולטז בביורטה,false
מטבולאז,false
מטרונידזול,false
מידאזולם,false
מלוקסיקם,false
מניטול,false
מרבוציל,false
מתאדון לווריד,false
מתאדון לשריר,false
סולומדרול,false
סוקרלפט,false
סטומג'יל 10,false
סינביוטיק,false
ספירינולקטון,false
סרניה,false
פוסיד,false
פוסיד CRI חתול ,false
פוסיד CRI כלב ,false
פחם פעיל ,false
פלסמה,false
פמוטידין,false
פנוברביטל,false
פנוקסיבנזמין,false
פראמין בביורטה,false
פרדניזון ,false
פרוויקוקס 227,false
פרוויקוקס 57,false
פרמין לתת עור ,false
צפורל,false
קונבניה,false
קלינדהמיצין,false
קפרה,false
קרדיושור ,false
רמרוון,false
רמרון לאזן,false
תיאוטרים,false
תילוע,false
תילוע בהזרקה חתול ,false
תרכיז תאי דם PC,false
